"TIMEOUT","CIRC_ID","STREAM_ID","LAUNCH","STARTED","USED_AT","COMPLETE_MS","COMPLETE_MS_USEDAT","REQUEST_MS","RESPONSE_MS","DATARREQUEST_MS","DATARESPONSE_MS","DATACOMPLETE_MS","TROUGHPUT_KBproSEC_Download","TROUGHPUT_KBproSEC","PATH"
FALSE,141,284,2014-10-22 04:08:47,2014-10-22 04:18:47,2014-10-22 04:18:57,9696.53,9697.31,0.3,322.69,322.82,574.6,9696.53,546.2080244358,528.0403338182,"$2CAE5275C9903C9239FC4112626FD5EBCBD8A2B8, $3D5A6E47A9DD438E8653E914A59F5586233DADDC, $055AEF1AEFD000EAFE4A55B6638F21EF0B90C81E, $B7580D392853F23597E11575F061B8097ADD92B6"
FALSE,142,285,2014-10-22 04:18:47,2014-10-22 04:28:47,2014-10-22 04:28:59,11357,11358.57,0.3,236.04,236.53,490.13,11357,460.4120747257,450.8352692729,"$E99B122BAAC1C009E7CE9F3DBBDA5E909A9F198F, $ADC9038EA5888CA3A9F83DDD85B96FEBAC487B4D, $496FED39C1469567B333C3A418A07D5CF62DCD23, $F12AFDB3FEC184E76944579579F762F1142C7ED2"
FALSE,143,287,2014-10-22 04:28:48,2014-10-22 04:38:47,2014-10-22 04:38:53,5117.9,5118.69,0.32,216.79,216.88,413.44,5117.9,1044.6806990774,1000.4726735711,"$14F21773A93EF899CA0AD48A594C5A47AA1710AB, $DE134FC8E5CC4EC8A5DE66934E70AC9D70267197, $B731E7E488E657F434E4D5E25A688928FC7F2313, $2576BFB02654F8C7EE7F8A4E2F746E4D03F67DD5"
FALSE,144,290,2014-10-22 04:38:48,2014-10-22 04:48:48,2014-10-22 04:49:03,14796.25,14797.11,0.34,536.75,536.9,993.27,14796.25,359.0625001177,346.04150283,"$DCAA1CED7183B561D18CF580BE9933BD9168D101, $CDC29B5EBFB352AF79E10CEC14208DCF84DC213A, $1B05383F201057E8CD2BF3A0A4337D3A0AA88FBF, $81B75D534F91BFB7C57AB67DA10BCEF622582AE8"
FALSE,145,291,2014-10-22 04:48:48,2014-10-22 04:58:48,2014-10-22 04:58:54,5416.44,5418.15,0.31,352.6,353.1,493.53,5416.44,1011.1892493252,945.3244069083,"$97B867190D2A0387F3259EA65664A90884A8BDC4, $EA8637EA746451C0680559FDFF34ABA54DDAE831, $3C79699D4FBC37DE1A212D5033B56DAE079AC0EF, $EFAE44728264982224445E96214C15F9075DEE1D"
FALSE,146,293,2014-10-22 04:58:49,2014-10-22 05:08:48,2014-10-22 05:09:15,26117.92,26118.81,0.32,5424.28,5424.4,5930.23,26117.92,247.4204716457,196.0363885218,"$097BB642A47EAB87AD9DFA605FDD0084E3E0C2E9, $4480DC2DF7C55CD0604D1F74C0FE833882819375, $426C34EC356E885CFA1458C47C033F53CF9649A9, $E187D52F9EF0630A7E17CC4016EB49DEAB684F42"
FALSE,147,296,2014-10-22 05:08:49,2014-10-22 05:18:49,2014-10-22 05:19:03,13884.02,13885.6,0.32,387,387.11,820.5,13884.02,379.3461104195,368.7777442496,"$C383413C97056179799E6451AFCDD7B8A2D95880, $B39C680A9958B9B032F50F7D02F943B3D82AF4CD, $3D2E8C1C27671D895CA80AC5F14C0D8B0F3526DF, $C1B48F2210CBF1472B50A94A06C5B136644F7466"
FALSE,148,308,2014-10-22 05:18:49,2014-10-22 05:28:49,2014-10-22 05:28:57,7622.3,7623.37,0.3,307.25,307.76,592.13,7622.3,699.9761284386,671.7398729982,"$E64625ED5B01A1F0E97BCF0B5D431A432A24F408, $40F32747DA9C12CF59B7CAF2EA0FA918528C993B, $5533B9DBAD6B5B419A604611925E55AB6B9FBA32, $7C3A4CFF09C1981D41173CDE2A2ADD4A5CA109FD"
FALSE,152,309,2014-10-22 05:28:50,2014-10-22 05:38:49,2014-10-22 05:38:58,8292.32,8293.48,0.34,423.76,423.84,643.09,8292.32,650.6973872034,617.4635962843,"$B721D56F47F66C3E1B1F69D9D8E8578BCDED5143, $30F27AC195F6393FC0CD9107F197A575F553ACB1, $F8756C0963DC691816366AE9E950D884BE111BDC, $F65E0196C94DFFF48AFBF2F5F9E3E19AAE583FD0"
FALSE,154,312,2014-10-22 05:48:50,2014-10-22 05:48:50,2014-10-22 05:49:00,9986.46,9988.09,16.55,1052.33,1052.4,1302.22,9986.46,573.087269263,513.5451113008,"$03BFB22955D050A20C31DCA694C02C53F93AA227, $3684D3A29A6BE967CDF36E5CA21C3D542DE20DA2, $D7EBC3E592A6BC3F9DDCB471185BC28C038BCCE7, $95E8241450C143D639C52687D919E5A57B396660"
